"HITID","Tweet","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"28RY8TNKIMZSZFYQ92TOU0PGYELXAG","so mitt romney thinks ""instagram"". yes the photo sharing app. is an app that you use to measure drugs with. and wants to ban it.","A1Y6CLBM5VJQKD","funny","A2J0MGJFLGQOO5","funny","Yes","funny","Tue Nov 13 01:08:02 UTC 2012"
"28AQV66RLPHI6DV6OKMKQ62NMPK6EQ","Dunia Lebih Menyukai Obama Daripada Romney http://t.co/LmoNC3m9","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 16:28:40 UTC 2012"
"2JJO3W5XH0JP22WDC85PTSP78J3JDG","RT @cher: Tagg Romney owns piece of co.That Put Voter tabulating machines in..OHIO ! Man who owns the rest of co. made a huge $$ contrib ...","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:49:44 UTC 2012"
"2UJX3V0FK0COXCXPTWYPSK9LUVOGNR","Tell us who you believe won Monday night's presidential debate http://t.co/m6V5xYzh #Romney. #Obama. #Democrats. #Republicans. #GOP","A1Y6CLBM5VJQKD","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 17:30:12 UTC 2012"
"2YDWAVKI62NJ3CFIU909YH6BNKUJRM","RT @GayPatriot: In a major blow to the world's most prolific golfer. Jack Nicklaus has endorsed Mitt Romney. #tcot","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:25:13 UTC 2012"
"2ZB3HVWAVKI6FXX1UBY2799QK5TGO6","Tell us who you believe won Monday night's presidential debate http://t.co/6HeGJA9Y #Romney. #Obama. #Democrats. #Republicans. #GOP","A1Y6CLBM5VJQKD","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Mon Nov 12 18:21:54 UTC 2012"
"2ACHYW2GTP9RNH6GOWS6HYSOI6ISNN","RT @JoeBiden: VP Biden on Romney: Governor. you can't run from the truth. You can't run from your record. You can't run from your polic ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 22:12:09 UTC 2012"
"22ESBRI8IUB2B4NJBRJTTB3L3ETG4W","RT @MotherJones: CHART: Mitt Romney's defense budget steamrolls Cold War spending http://t.co/MgU3s2OU","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 21:00:21 UTC 2012"
"21405BMJTUHY9CU4HJIAFS5WP0OGLP","RT @KKoz22: October Surprise Revealed: Gloria Allred Heads To Court. Attempts To Unseal Mitt Romney Testimony http://t.co/k6c4VH04 via @ ...","A182JW8U6PO60U","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 23:33:38 UTC 2012"
"2H9YNJ92NJKMDFPXB3LH6W2GWOR7CX","RT @iuper2: Romney is has more sides than a hexagon","A182JW8U6PO60U","funny","A2J0MGJFLGQOO5","funny","Yes","funny","Tue Nov 13 02:05:01 UTC 2012"
"2XO7D1X3V0FKDM2VUT51U7PKN83DK9","At #Bain. #Mitt Bankrupted Companies &amp; Sent Them to China. That's Why he Wanted Detroit to Go Bankrupt. It's Phase 1. | #Romney=#BADBUSINESS","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 22:10:36 UTC 2012"
"2Y4VHVKCJ011XCLFBH0KYW61BMM68R","RT @steveweinstein: Matt Taibbi: Mitt Romney 'A Salesman And Bullshit Artist Of The Highest Order' http://t.co/KbqLRsiQ via @HuffPostBiz","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:53:01 UTC 2012"
"23I5BMJTUHYWFQ70111705WM45RMHW","RT @lordxmen2k: Mitt Romney never uttered the word ""Veteran"" during Foreign Policy debate. maybe he thinks they just get discarded like  ...","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:30:16 UTC 2012"
"20BUHYW2GTP94KL3X6D1E9YSREPRMY","If Romney and Obama were a gay celebrity couple would they be obamney or rombama","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 19:42:52 UTC 2012"
"26XE4EGDHDM2IVMT1XQWEHEZ9NWBL3","RT @EngineerMiguel: RT @weywerdSun: Romney's geography and Syria's march to the sea | The New Yorker http://t.co/Gxw2Zwng","A2J0MGJFLGQOO5","none / other","ATBZC1F0M7F2F","none / other","Yes","none / other","Mon Nov 12 22:11:06 UTC 2012"
"25TDDP8PJWKUQNM8ELUQB9Z0E5CH6H","RT @coffeepartyusa: RT @gknauss: #Romney is going to complete the process running for President without disclosing his taxes. his wealth ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 22:11:16 UTC 2012"
"2ETNVP3TVOK57PXGT8YQMOZF1PA14H","RT @slone: OBAMA'S LOSING FREAK SHOW: Obama Sics His Freaks On Romney: Allred. Sullivan. Wright http://t.co/JJQac5Zb","A182JW8U6PO60U","angry","A2J0MGJFLGQOO5","angry","Yes","angry","Mon Nov 12 23:59:15 UTC 2012"
"2FNCOW0LGRZ3LM5QDMXVVUZWGQJ8ZK","RT @BenCunningham12: Romney. LEARN SOMTHING YOU DUMBASS!! http://t.co/fM8lUzqg","A23TYYPLWEKRB2","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 17:31:16 UTC 2012"
"2MPDZKPFE4EGQRRXUFC8Q9NZZ5Z6G7","Former Mossad Chief for Obama. Warns Romney's Rhetoric Against U.S. Interests ... http://t.co/mugQxGvO","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 19:44:55 UTC 2012"
"2YGW2GTP9RA75FAXTG0Y0OF73I4UP1","Fccck Romney . #DailyTweet","A182JW8U6PO60U","angry","A2J0MGJFLGQOO5","angry","Yes","angry","Mon Nov 12 23:59:00 UTC 2012"
"25XXRDS4IC1EBN18BPD19A2IYXMWZN","RT @LMAO_TWITPICS: Romney must be stopped.. He wants to band Instagram!  http://t.co/TinphMwd","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:29:03 UTC 2012"
"20R2NJKM05BMW38SQ6TG1P9RD6ABGX","RT @NotKennyRogers: If I'm Mitt Romney. I go to Ohio and burn a Lebron James jersey every day until the election.","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 20:58:28 UTC 2012"
"23WC1PC6SK9RWIJZRSQEPMAASL6P1W","RT @57MCM: President #Obama was the only one who mentioned the #military and #veterans during the debate. Romney never uttered the words","A2J0MGJFLGQOO5","angry","A53VNQRRFQ785","angry","Yes","angry","Mon Nov 12 23:36:18 UTC 2012"
"2DSVKI62NJQ2EHGA1JHHEBKLFUWLT3","I wanna know what Obama or Romney propose to do about YouTube buffering.","A1Y6CLBM5VJQKD","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Tue Nov 13 02:00:29 UTC 2012"
"2MTMJTUHYW2G6ZN22HJ54M16CXAJOD","RT @NotKennyRogers: If I'm Mitt Romney. I go to Ohio and burn a Lebron James jersey every day until the election.","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 16:28:00 UTC 2012"
"218W618N46UXSMRFX73E1NDSQS1QOA","RT @LoveSo_Vivid: Romney wants to ban instagram cause he thinks it's a way to measure drugs *PAUSE* LMAOOOOOO #Done","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 20:12:53 UTC 2012"
"2UZDM25L8I9NC6KS69XOM4QWASQRHP","RT @gbmegafan: Gallup: Romney Winning Popular Vote; All Eyes Turn To Midwest http://t.co/1xGLTj1c #tcot","A1Y6CLBM5VJQKD","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Tue Nov 13 01:53:43 UTC 2012"
"2Q2QW618N46UAPQOWFOCMTNDVMBPN4","@David_Gergen @cnnopinion @CNNOpinion 277 Obama vs 261 Romney http://t.co/cWfRoOa9","A1Y6CLBM5VJQKD","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 18:13:12 UTC 2012"
"2TATMOFXRDS4VMFPQNEXRFM149JVS6","RT @MiltShook: The Final Debate: Four Punches That Knocked Out Mitt Romney http://t.co/m7FFgJy0 via @rollingstone","A182JW8U6PO60U","none / other","A2J0MGJFLGQOO5","none / other","Yes","none / other","Tue Nov 13 01:53:16 UTC 2012"
"2PT727M0IGFKUNFHQPJVN4VIRTHEZP","RT @pennilanebyu: O put out a 20pg book on his plan. which is same as last 4yrs &amp; criticizes #Romney for no plan for anything-#Romne ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","angry","Yes","angry","Mon Nov 12 21:48:14 UTC 2012"
"2I0NMHGYQ4J30KPH3PDFNOYYLSJM96","RT @BorowitzReport: Both candidates got something out of the debate. Obama won. and Romney got a very clear explanation of what an aircr ...","A2J0MGJFLGQOO5","mocking","AMAAE4PQGWD99","mocking","Yes","mocking","Mon Nov 12 21:04:22 UTC 2012"
"2QFBNVP3TVOKI4TUXBP7YEOZIX903T","I FUCKIN HATE CLIFF HANGERS I BLAME MITT ROMNEY","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:20:22 UTC 2012"
"2FILWSBRI8IUOCC51IAH0TLB6KJ2E6","Dbat Romney-#Obama: Moins de tlspectateurs que lors des deux ... - 20minutes.fr : http://t.co/BqZtkHyq -&gt; Swiss.FM","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 21:06:28 UTC 2012"
"2TFKNQY2RCJKJDD66D8R8KUIDPR3SI","RT @cher: Tagg Romney owns piece of co.That Put Voter tabulating machines in..OHIO ! Man who owns the rest of co. made a huge $$ contrib ...","A182JW8U6PO60U","angry","A2J0MGJFLGQOO5","angry","Yes","angry","Tue Nov 13 01:00:17 UTC 2012"
"200A0RYNJ92NWU0BXLDJ1UHYZ1Y49T","Halperin and Barnicle: ""Let Detroit Go Bankrupt"" Op-ed Could Cost Mitt Romney the Presidency http://t.co/CV9ASHyI (VIDEO) #Obama2012  #p2","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 16:34:29 UTC 2012"
"2J1E1M7PKK9L46KZRK30CLZXSKPSZ3","I'm voting for Bugs Bunny this election.   No Obama. No Romney either.  Cartoons for everybody","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 20:11:45 UTC 2012"
"22ESBRI8IUB2B4NJBRJTTB3L3ET4GK","If Romney wins. POOF! There go da car. POOF! There go da crib. POOF! A hunnit mil....back to da cotton fields!","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 16:37:16 UTC 2012"
"27G2RCJK63ZVRDV2SULIIQ9JO497W6","RT @fniemynski13: Fucking Romney reminds me of Ronaldo so I'm assuming you know how I feel about him.","A1Y6CLBM5VJQKD","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 17:30:01 UTC 2012"
"2Q2SSZVXX2Q4I48VIYPGVIW1QRQO6C","RT @hmfearny: So strange. the media isn't hyperventilating over Romney crowds like they did Obama's in 08. I don't understand.","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:18:53 UTC 2012"
"2787Q67051QKPX5CU3HC9XMGLZDEYY","#edshow why not have a big screen at Obama events during the warm up showing Romney saying no to firefighters.police &amp; teachers.auto loan","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:14:25 UTC 2012"
"27A1CSTMOFXRQ2IT4B5YLNXJILJPSG","RT @LMAO_TWITPICS: Romney must be stopped.. He wants to band Instagram!  http://t.co/TinphMwd","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:16:42 UTC 2012"
"26AI2KYEPLSPKFYWEGNJBOAHTD8UOK","RT @ricky_martin: Gov. Romney. you keep on trying to airbrush history"" @BarackObama","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:18:08 UTC 2012"
"2J4IKMN9U8P9BDM4O6OIBSUYLLHTCU","RT @CNBC: http://t.co/lvqE1Bhg Survey Results: Who do you think won the debate? Obama: 67%. Romney: 30%. Neither: 3% (Track: http://t.co ...","A2J0MGJFLGQOO5","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 21:00:29 UTC 2012"
"234EGOOGQSCMJSOLU25I2UU03N8EEJ","RT @noticierodelafm: Obama venci a Romney en poltica exterior http://t.co/UvjXxq0k  #oigolafm","A23TYYPLWEKRB2","none / other","AMAAE4PQGWD99","none / other","Yes","none / other","Mon Nov 12 17:31:50 UTC 2012"
"25ZOVR14IXKOFVND9O3WI6X31NU985","RT @Shenenehh: Mitt Romney gone take away weave if he become president. hoes gone be walking around looking like lil bill ..","A2J0MGJFLGQOO5","funny","AMAAE4PQGWD99","funny","Yes","funny","Mon Nov 12 21:17:55 UTC 2012"
"2SIHFL42J1LYIIPIUHD0QGFKKCK2NV","RT @cher: Tagg Romney owns piece of co.That Put Voter tabulating machines in..OHIO ! Man who owns the rest of co. made a huge $$ contrib ...","A2J0MGJFLGQOO5","angry","AMAAE4PQGWD99","angry","Yes","angry","Mon Nov 12 20:56:57 UTC 2012"
"2DGB49F9SSSHABFUGXJTDH5FBILSWD","RT @CampaignCarl: MSNBC Crowd Boos A 9-Year-Old Girl For Supporting Romney Not Expecting Call From President. http://t.co/ganUoVgI","A1BQBQG2GNY8AY","none / other","A2J0MGJFLGQOO5","sad","No","no_agreement","Mon Nov 12 20:16:18 UTC 2012"
"2C73TVOK5UFJIBCIIOFZNYQS4BA47H","My mom and sister have assured me that the great State of Georgia is firmly behind Romney. Way to go Georgia!","A182JW8U6PO60U","happy","ATBZC1F0M7F2F","hopeful","No","no_agreement","Mon Nov 12 15:07:09 UTC 2012"
"2UY67D1X3V0FXAQZCCAE9M7PNJRJCG","RT @Sheya: By agreeing with Obama often Romney was telling voters this election is about the Economy not Foreign policy","ATBZC1F0M7F2F","hopeful","A182JW8U6PO60U","none / other","No","no_agreement","Mon Nov 12 14:46:07 UTC 2012"
"215QY2RCJK63C5SE91RK2IAQCI3U5F","RT @JuankiiSLUT: @LMAO_TWITPICS: Romney must be stopped.. He wants to band Instagram!  http://t.co/huYomTm3","A2J0MGJFLGQOO5","angry","A182JW8U6PO60U","funny","No","no_agreement","Mon Nov 12 16:14:27 UTC 2012"
"297W1INMHGYQHTHY2LXBNMFFRXG6JB","RT @virginiagirl91: Obamabots desperate now! http://t.co/6K1j2Dvw Go ahead. dumba$$es..riot. Kill each other &amp; save US TAXPAYERS the ...","A182JW8U6PO60U","angry","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 14:22:20 UTC 2012"
"2XNR98D8J3VEK663LXPCO3MCN7SWGY","RT @gretawire: Gloria Allred to attempt unsealing Mitt Romney court testimony: I have no idea what is up with Gloria Allred al... http: ...","AMAAE4PQGWD99","funny","A182JW8U6PO60U","none / other","No","no_agreement","Mon Nov 12 16:25:53 UTC 2012"
"2C914IXKO2L9FRSNOKXXBYOCFEIBCN","RT @dmitchell624: Romney/Ryan event in Red Rocks Colorado. More people came than the amphitheater could hold. Momentum grows even more!  ...","A3UX2FXA3NMJCS","happy","A182JW8U6PO60U","hopeful","No","no_agreement","Mon Nov 12 14:49:06 UTC 2012"
"2FWPLSP75KLMJ6XEGK8QMQVJU34TZU","RT @DRUDGE_REPORT: MSNBC crowd boos 9-year-old girl for supporting Romney... http://t.co/VZNHuezm","A182JW8U6PO60U","angry","AMAAE4PQGWD99","none / other","No","no_agreement","Mon Nov 12 16:34:57 UTC 2012"
"2TATMOFXRDS4VMFPQNEXRFM149JSV3","RT @LMAO_TWITPICS: Romney must be stopped.. He wants to band Instagram!  http://t.co/TinphMwd","ATBZC1F0M7F2F","funny","A182JW8U6PO60U","mocking","No","no_agreement","Mon Nov 12 14:22:04 UTC 2012"
"2RT6BFMFFOYYV3F4BP4GMSC0UWELYS","America Needs Romney Blimp Crash Lands in Florida","AMAAE4PQGWD99","angry","A182JW8U6PO60U","mocking","No","no_agreement","Mon Nov 12 16:15:03 UTC 2012"
"2IG7QEOZFYQSEM64EY6XZDS4LBJGJN","Mitt Romney... What kind of name is Mitt? His parents must have been pissed when writing his name on his birth certificate.","AMAAE4PQGWD99","funny","A182JW8U6PO60U","mocking","No","no_agreement","Mon Nov 12 16:11:11 UTC 2012"
"2YZRRLFQ0ONN81VCCRF9MGRBA55RII","Romney Gives Thumbs Up To Final Debate http://t.co/tNrrJV84 via @HuffPostPol As always. he's delusional.","A2J0MGJFLGQOO5","angry","A182JW8U6PO60U","mocking","No","no_agreement","Mon Nov 12 20:53:54 UTC 2012"
"2JVIPDOBDDP82TAVMN485MB3T2R1CU","For fear of riots and attacks. @Romney supporters are removing Bumperstickers from their cars. HAHA. not me. I'm putting more and loading up","ATBZC1F0M7F2F","hopeful","A182JW8U6PO60U","mocking","No","no_agreement","Mon Nov 12 14:35:33 UTC 2012"
"2ORKQW618N4677TN5EWXKETNGR5OMM","If romney wins Im leaving the country. If obama wins Im leaving the country. This has nothing to do with politics I just want to travel","AMAAE4PQGWD99","angry","A182JW8U6PO60U","funny","No","no_agreement","Mon Nov 12 16:12:49 UTC 2012"
"2Y9RLFQ0ONNV4RFV9Y0EORB79MCSJI","Pro-Romney Firm's Purchase Of Voting Machine Company Raises Alarms http://t.co/h5aw82zP","A2J0MGJFLGQOO5","afraid","A3I9UOCM5EXMR2","none / other","No","no_agreement","Mon Nov 12 14:30:48 UTC 2012"
"2F4NCWYB49F9526SPBSJWNST8GNOSY","WITH LIBERTY AND JUSTICE TO ALL.","A2J0MGJFLGQOO5","happy","A3I9UOCM5EXMR2","none / other","No","no_agreement","Mon Nov 12 19:42:45 UTC 2012"
"2C6X7H57DZKPSOIP8N8DU25LBHRB1X","At The Last Presidential Debate: Romney Told 24 Myths In 41 Minutes http://t.co/yJLtGbOU via @thinkprogress","ATBZC1F0M7F2F","afraid","A3I9UOCM5EXMR2","mocking","No","no_agreement","Mon Nov 12 14:44:02 UTC 2012"
"2NJ8N46UXFCDHFBN63ED0NTKLMLRTZ","RT @SheTwirlsMyKan3: #ThingsBetterThanThisComedyShow Mitt Romney canceling food stamps","A2J0MGJFLGQOO5","afraid","A3I9UOCM5EXMR2","mocking","No","no_agreement","Mon Nov 12 14:24:53 UTC 2012"
"2DM0SPW1INMHT84FBDEAJ6BFPEXG3B","RT @drgrist: To the Beltway press. Mitt Romney was born a few seconds before he walked on the debate stage. and my. what a strapping man ...","A182JW8U6PO60U","funny","AMAAE4PQGWD99","mocking","No","no_agreement","Mon Nov 12 16:32:48 UTC 2012"
"2JAEIUUU00OQXUOFASJ802U297ITTE","Mitt Romney Style (Gangnam Style Parody) http://t.co/DWfFCTR0 via @CollegeHumor","A2J0MGJFLGQOO5","funny","A182JW8U6PO60U","none / other","No","no_agreement","Mon Nov 12 14:25:54 UTC 2012"
"2ETAT2D5NQYNIPH1ST751YMNFVG484","RT @rahulsandil: @TheObamaEffect @ravishingtors even someone in Mali would say that #POTUS won - Heck. even Romney endorses this tweet","ATBZC1F0M7F2F","angry","A2J0MGJFLGQOO5","happy","No","no_agreement","Mon Nov 12 19:54:28 UTC 2012"
"29E6NG1FS3NY0TP97B6Z0ZL20QILZJ","RT @mfaulkner65: Latest Gallup Poll: ROMNEY - 52% OBAMA - 45% NO SITTING PRESIDENT UNDER 50% HAS EVER GOTTEN RE-ELECTED!!!!! #TCOT #GOP  ...","A2J0MGJFLGQOO5","happy","ATBZC1F0M7F2F","hopeful","No","no_agreement","Mon Nov 12 20:59:02 UTC 2012"
"2EKQ45UUKQOYTXW7TXJ8WG01369VDC","RT @iiBreakNecks: If Romney wins. POOF! there go the car. POOF! there go the crib................back to the cotton fields.","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 16:27:52 UTC 2012"
"2CUPWZ9RNDWI15F3Z2E3LTGU42GDSQ","RT @JerryOD: @edshow @BarackObama Romney is a marionette with the Neo-cons pulling the strings - Romney has no moral center -","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 20:20:34 UTC 2012"
"27D66RLPHIT3U5ALNU96ANJQ50PG83","Romney's strategy for the last debate: Cover up his reckless policies by pretending to agree with the President's: http://t.co/tlGBPxsQ","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 19:52:05 UTC 2012"
"2H1PPSI2KYEPY23IXUCMEWJ3R9ZLRQ","Sunday I attended a Mitt Romney ralley and a church service broke out!","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 20:54:03 UTC 2012"
"2CQER9Y8TNKIZ96XXU6H02OM3OYU7U","RT @WhoIsKesha: BYE   RT @Tyrant_Warrior: #ThingsBetterThanThisComedyShow Mitt Romneys 5 point plan","ATBZC1F0M7F2F","funny","A2J0MGJFLGQOO5","happy","No","no_agreement","Mon Nov 12 19:45:44 UTC 2012"
"2IANQQ7Q6705E0YNF1S21QC10LXVB5","RT @TheDemocrats: Mitt Romney wants to be your commander in chief. but his grasp on geography is ""nonsensical."" http://t.co/r497stte #Ro ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","funny","No","no_agreement","Mon Nov 12 20:48:46 UTC 2012"
"2TEYB49F9SSSU7FCBYES15H5I70VRI","RT @BarackObama: RT if you agree: We cant afford Mitt Romneys failed policies of the past. We need to keep moving forward. http://t.co ...","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","hopeful","No","no_agreement","Mon Nov 12 21:00:58 UTC 2012"
"2LTLYHVI44OSFUZ50NEE7SBAS4T3XQ","Kid Rock ""opening"" for Romney.","A1Y6CLBM5VJQKD","funny","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 15:23:22 UTC 2012"
"2U6BDDP8PJWK7NRJPW23Y39Z3AOG51","RT @jeffemanuel: RT @TheRickWilson: So YOU say. RT @jeffemanuel: BREAKING EXCLUSIVE FROM @SULLYDISH: Mitt Romney not Trig Palin's mother!!!","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 16:15:23 UTC 2012"
"2GFR24SMEZZ2ZSYXFJL8X9Y3BSEJ27","RT @Traphik: The only English channel in this Austrian hotel room is CNN. I know SO much about Obama/Romney debate body language now.","ATBZC1F0M7F2F","funny","A2J0MGJFLGQOO5","none / other","No","no_agreement","Mon Nov 12 20:13:57 UTC 2012"
"2H1PPSI2KYEPY23IXUCMEWJ3R9ZRLW","Romney is A","A2J0MGJFLGQOO5","happy","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 20:31:02 UTC 2012"
"2KR5SW6NG1FSGXCYBLPF9FZS2KKWIQ","Love this! #fridaynightlights &amp; #romney all in one! @JackLKiser I feel like you'd appreciate this too! http://t.co/GL2sUNz5","ATBZC1F0M7F2F","funny","A2J0MGJFLGQOO5","happy","No","no_agreement","Mon Nov 12 20:57:34 UTC 2012"
"2ZRNZW6HEZ6ORE47Z3Z6HGUM50JZPV","[VIDEO] Crossroads Generation spoofs Dollar Shaved Club video with pro-Romney Dollar Saved Club http://t.co/8ibJJfWX","A2J0MGJFLGQOO5","funny","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 14:32:45 UTC 2012"
"25KL92HECWA6ADCZ4M60KP5K0OBJII","#lynndebate RT ""@TruthTeam2012: At the debate last night. Romney told 24 myths in 41 minutes: http://t.co/PNTGwi3X""","ATBZC1F0M7F2F","mocking","A2J0MGJFLGQOO5","sad","No","no_agreement","Mon Nov 12 20:57:48 UTC 2012"
"20R2NJKM05BMW38SQ6TG1P9RD6AGB2","RT @LMAO_TWITPICS: Romney must be stopped.. He wants to band Instagram!  http://t.co/TinphMwd","A2J0MGJFLGQOO5","angry","ATBZC1F0M7F2F","funny","No","no_agreement","Mon Nov 12 14:23:03 UTC 2012"
"2J2YEPLSP75KYWK7BDFAPQEQYI9RXI","RT @franyafranya: Larry King now beginning the 3rd party candidate debate - to which Obama &amp; Romney were invited. LIVE: http://t.co/ ...","ATBZC1F0M7F2F","funny","A2J0MGJFLGQOO5","none / other","No","no_agreement","Mon Nov 12 20:56:42 UTC 2012"
"2YQMZ9O9Z6KWH90LRR8RZLFQ3N5B2E","RT @FactHive: Poll: Retweet for Obama. or Favorite for Romney!","A2J0MGJFLGQOO5","hopeful","ATBZC1F0M7F2F","none / other","No","no_agreement","Mon Nov 12 14:25:01 UTC 2012"
"2F8S1CSTMOFX4N6FAMSE6DNXME4ROD","RT @dgjackson: Cute photo of Romney Grandkids last night. Clear Eyes. Full Hearts. America Can't Lose. #RomneyRyan2012 http://t.co/k37VLqax","A2J0MGJFLGQOO5","happy","ATBZC1F0M7F2F","hopeful","No","no_agreement","Mon Nov 12 14:25:10 UTC 2012"
"222H1Q6SVQ8HLI01MGC5WBVCL09M3P","rt@dcexaminer: BARONE: Barone: Affluent suburbs swing to debate-tested Romney http://t.co/vzgJIUJI","A2J0MGJFLGQOO5","hopeful","ATBZC1F0M7F2F","mocking","No","no_agreement","Mon Nov 12 19:55:33 UTC 2012"
"2OKJENLVWJ5O2LE9NQQ86MWBAD7S0C","Mitt Romney May Be Finished: http://t.co/JCG6Ysbf via @youtube","ATBZC1F0M7F2F","hopeful","A1Y6CLBM5VJQKD","none / other","No","no_agreement","Mon Nov 12 15:35:49 UTC 2012"
"2RCC26DG67D1AD9B7URCWK2JH04E7X","No doubt Romney people pulling their hair out to try shut Donald Trump up. @BarackObama marriage has nothing to do w/ policy #election2012","A2J0MGJFLGQOO5","afraid","ATBZC1F0M7F2F","hopeful","No","no_agreement","Mon Nov 12 14:39:21 UTC 2012"
"2YDWAVKI62NJ3CFIU909YH6BNKURJU","Obama may have won the Boca debate battle but he knows he is losing the election war to Romney - Mail Online http://t.co/EsIGSTge","A2J0MGJFLGQOO5","mocking","AMAAE4PQGWD99","none / other","No","no_agreement","Mon Nov 12 16:26:53 UTC 2012"
"21K74J79KQW6EI1FY4OFKD450BWJHP","@MittRomney (Cdn observer) The American people haven't seen change by Obama. only failure.  Time for common sense people. you need Romney.","A3UX2FXA3NMJCS","hopeful","A2J0MGJFLGQOO5","sad","No","no_agreement","Mon Nov 12 14:58:10 UTC 2012"
"27QH88MQU6L51L9NABIX54AIMEPUBG","@Sunny_Sauls #SomethingSunnyWouldSay Romney Can Get The P !","ATBZC1F0M7F2F","happy","A2J0MGJFLGQOO5","hopeful","No","no_agreement","Mon Nov 12 14:23:14 UTC 2012"
"2JNL8I9NZW6HR9KZ6EHWFT86CFCLVJ","Romney said no to rose-colored glasses. but he was in Florida with the old folks. aren't their's always tinted some color? #latedebatejoke","ATBZC1F0M7F2F","funny","A2J0MGJFLGQOO5","mocking","No","no_agreement","Mon Nov 12 14:57:10 UTC 2012"
"21ASZVXX2Q4574Y1G87NQW1NV76P7T","RT @hmfearny: So strange. the media isn't hyperventilating over Romney crowds like they did Obama's in 08. I don't understand.","ATBZC1F0M7F2F","angry","A2J0MGJFLGQOO5","sad","No","no_agreement","Mon Nov 12 14:56:22 UTC 2012"
